,Timestamp,Signal 1
0,2024-06-12 14:09:16.633049,161.0
1,2024-06-12 14:09:16.725059,161.0
2,2024-06-12 14:09:16.835171,159.0
3,2024-06-12 14:09:16.930353,159.0
4,2024-06-12 14:09:17.026544,158.0
5,2024-06-12 14:09:17.121141,156.0
6,2024-06-12 14:09:17.231344,158.0
7,2024-06-12 14:09:17.326321,160.0
8,2024-06-12 14:09:17.437317,159.0
9,2024-06-12 14:09:17.532762,161.0
10,2024-06-12 14:09:17.627018,157.0
11,2024-06-12 14:09:17.721854,160.0
12,2024-06-12 14:09:17.833369,159.0
13,2024-06-12 14:09:17.936098,161.0
14,2024-06-12 14:09:18.038023,166.0
15,2024-06-12 14:09:18.131839,161.0
16,2024-06-12 14:09:18.226260,163.0
17,2024-06-12 14:09:18.337380,156.0
18,2024-06-12 14:09:18.431233,160.0
19,2024-06-12 14:09:18.525396,160.0
20,2024-06-12 14:09:18.635277,158.0
21,2024-06-12 14:09:18.728976,161.0
22,2024-06-12 14:09:18.838660,167.0
23,2024-06-12 14:09:18.932671,187.0
24,2024-06-12 14:09:19.027575,228.0
25,2024-06-12 14:09:19.137544,277.0
26,2024-06-12 14:09:19.232004,329.0
27,2024-06-12 14:09:19.326551,319.0
28,2024-06-12 14:09:19.436923,352.0
29,2024-06-12 14:09:19.532305,344.0
30,2024-06-12 14:09:19.642676,382.0
31,2024-06-12 14:09:19.739821,350.0
32,2024-06-12 14:09:19.834113,392.0
33,2024-06-12 14:09:19.926875,388.0
34,2024-06-12 14:09:20.040007,339.0
35,2024-06-12 14:09:20.132231,322.0
36,2024-06-12 14:09:20.241955,295.0
37,2024-06-12 14:09:20.337745,324.0
38,2024-06-12 14:09:20.431896,303.0
39,2024-06-12 14:09:20.542090,307.0
40,2024-06-12 14:09:20.637704,325.0
41,2024-06-12 14:09:20.742358,284.0
42,2024-06-12 14:09:20.827131,287.0
43,2024-06-12 14:09:20.941945,272.0
44,2024-06-12 14:09:21.039469,275.0
45,2024-06-12 14:09:21.144662,304.0
46,2024-06-12 14:09:21.237755,343.0
47,2024-06-12 14:09:21.331956,274.0
48,2024-06-12 14:09:21.442232,309.0
49,2024-06-12 14:09:21.538323,238.0
50,2024-06-12 14:09:21.633883,250.0
51,2024-06-12 14:09:21.743987,243.0
52,2024-06-12 14:09:21.838615,229.0
53,2024-06-12 14:09:21.934222,186.0
54,2024-06-12 14:09:22.044967,174.0
55,2024-06-12 14:09:22.139089,177.0
56,2024-06-12 14:09:22.233602,183.0
57,2024-06-12 14:09:22.345137,172.0
58,2024-06-12 14:09:22.438621,187.0
59,2024-06-12 14:09:22.533845,176.0
60,2024-06-12 14:09:22.644474,169.0
61,2024-06-12 14:09:22.741983,169.0
62,2024-06-12 14:09:22.835289,169.0
63,2024-06-12 14:09:22.945752,166.0
64,2024-06-12 14:09:23.047766,164.0
65,2024-06-12 14:09:23.135068,171.0
66,2024-06-12 14:09:23.247019,162.0
67,2024-06-12 14:09:23.341951,164.0
68,2024-06-12 14:09:23.436340,161.0
69,2024-06-12 14:09:23.547642,169.0
70,2024-06-12 14:09:23.643152,163.0
71,2024-06-12 14:09:23.737006,159.0
72,2024-06-12 14:09:23.848146,167.0
73,2024-06-12 14:09:23.946586,165.0
74,2024-06-12 14:09:24.038734,163.0
75,2024-06-12 14:09:24.148765,161.0
76,2024-06-12 14:09:24.246147,161.0
77,2024-06-12 14:09:24.339072,161.0
78,2024-06-12 14:09:24.450098,161.0
79,2024-06-12 14:09:24.545758,164.0
80,2024-06-12 14:09:24.640144,175.0
81,2024-06-12 14:09:24.750781,163.0
82,2024-06-12 14:09:24.845277,164.0
83,2024-06-12 14:09:24.944659,162.0
84,2024-06-12 14:09:25.052547,169.0
85,2024-06-12 14:09:25.146524,168.0
86,2024-06-12 14:09:25.244957,201.0
87,2024-06-12 14:09:25.350914,228.0
88,2024-06-12 14:09:25.445170,278.0
89,2024-06-12 14:09:25.539408,305.0
90,2024-06-12 14:09:25.650982,342.0
91,2024-06-12 14:09:25.746602,298.0
92,2024-06-12 14:09:25.857359,285.0
93,2024-06-12 14:09:25.953152,314.0
94,2024-06-12 14:09:26.048280,284.0
95,2024-06-12 14:09:26.154198,278.0
96,2024-06-12 14:09:26.252523,269.0
97,2024-06-12 14:09:26.347862,259.0
98,2024-06-12 14:09:26.442932,253.0
99,2024-06-12 14:09:26.553613,257.0
100,2024-06-12 14:09:26.682178,265.0
101,2024-06-12 14:09:26.743743,268.0
102,2024-06-12 14:09:26.854174,299.0
103,2024-06-12 14:09:26.953060,275.0
104,2024-06-12 14:09:27.045514,325.0
105,2024-06-12 14:09:27.155327,283.0
106,2024-06-12 14:09:27.250090,334.0
107,2024-06-12 14:09:27.344260,325.0
108,2024-06-12 14:09:27.454393,277.0
109,2024-06-12 14:09:27.549486,277.0
110,2024-06-12 14:09:27.643397,217.0
111,2024-06-12 14:09:27.753013,216.0
112,2024-06-12 14:09:27.847264,203.0
113,2024-06-12 14:09:27.957484,192.0
114,2024-06-12 14:09:28.051911,187.0
115,2024-06-12 14:09:28.145587,187.0
116,2024-06-12 14:09:28.255464,180.0
